,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
7,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,20,250,Mean,10,0.039783613,0.051169921,0.025340739,0.052417137,-0.012633523,0.022222222,0,0
8,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,25,250,Mean,10,0.037697614,0.052919344,0.025980194,0.034131216,0.003566398,0.013131313,0,0
9,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,3,250,SD,10,0.027011619,0.020638985,0.014195538,0.042277428,0.051133176,0.012416895,0,0
10,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,6,250,SD,10,0.02251959,0.02726448,0.009820047,0.097759189,0.093826268,0.027353665,0,0
11,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,8,250,SD,10,0.01854931,0.018977193,0.00918075,0.054297025,0.052069367,0.018318479,0,0
12,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,10,250,SD,10,0.01286968,0.021001332,0.008007338,0.058240432,0.060520857,0.021401008,0,0
13,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,12,250,SD,10,0.014665042,0.020077349,0.007236114,0.046109645,0.051211504,0.018564375,0,0
14,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,15,250,SD,10,0.017816676,0.014022376,0.005426888,0.064771508,0.070198429,0.02712476,0,0
15,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,20,250,SD,10,0.012988517,0.012338181,0.005553036,0.033360491,0.034191415,0.017035839,0,0
16,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,25,250,SD,10,0.01630096,0.008914967,0.005718833,0.04710118,0.052980677,0.023832106,0,0
17,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,3,250,Mean,10,0.34097852,0.314823143,0.725142798,0.659985369,0.680993151,0.474747475,21890.08249,29.2
18,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,6,250,Mean,10,0.370692372,0.337027975,0.744464994,0.646891002,0.72380137,0.45959596,21796.11003,45.8
19,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,8,250,Mean,10,0.410235642,0.384278312,0.771862317,0.673591807,0.736643836,0.447474747,21720.81535,50.6
20,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,10,250,Mean,10,0.456378456,0.422503246,0.798441493,0.694220922,0.762157534,0.435353535,21694.48547,69.7
21,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,12,250,Mean,10,0.468018158,0.44574384,0.808441831,0.757059254,0.710958904,0.448484848,21627.47911,71.1
22,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,15,250,Mean,10,0.488882514,0.475715307,0.821277908,0.765252377,0.723630137,0.435353535,21542.06178,78.4
23,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,20,250,Mean,10,0.512713196,0.499278589,0.834370898,0.756035113,0.756678082,0.416161616,21488.48766,86.6
24,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,25,250,Mean,10,0.542600786,0.522961173,0.846748392,0.780614484,0.761986301,0.411111111,21442.36028,96
25,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,3,250,SD,10,0.070724083,0.07193837,0.040280131,0.077396848,0.052648038,0.015057697,75.6546366,7.11492953
26,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,6,250,SD,10,0.069516993,0.077028832,0.042082629,0.103880566,0.075549951,0.023448465,109.2854125,6.160808028
27,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,8,250,SD,10,0.058948465,0.064908586,0.040569157,0.062358804,0.054261583,0.022359539,118.3461633,10.84435337
28,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,10,250,SD,10,0.015709234,0.024610041,0.011759679,0.039080352,0.036057974,0.015392767,53.66441802,9.866328823
29,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,12,250,SD,10,0.049785161,0.053712484,0.028030947,0.053782107,0.053682106,0.020313944,112.2051769,10.15928694
30,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,15,250,SD,10,0.044383902,0.045413854,0.021410527,0.061741357,0.06641246,0.022561435,78.74118281,9.957688264
31,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,20,250,SD,10,0.020652143,0.028991542,0.01150175,0.048735968,0.053161611,0.023229883,73.08729305,7.974960815
32,MaxentAll_RSFSAAUC,Random10WrapperTest,Random10,10_AllVariables,25,250,SD,10,0.023106831,0.021872825,0.009426371,0.053168336,0.055685067,0.026102421,48.11439708,4.876246279
33,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,3,250,Mean,10,0.351315117,0.336210561,0.734997057,0.660226857,0.69108826,0.472727273,21890.08249,29.2
34,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,6,250,Mean,10,0.398246604,0.375992837,0.764099327,0.687449689,0.710796915,0.46969697,21796.11003,45.8
35,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,8,250,Mean,10,0.438531535,0.419291083,0.79156998,0.711196487,0.727335047,0.45959596,21720.81535,50.6
36,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,10,250,Mean,10,0.49005528,0.472567207,0.817123601,0.767947311,0.722107969,0.45959596,21694.48547,69.7
37,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,12,250,Mean,10,0.507520856,0.502452646,0.830310361,0.782070984,0.725449871,0.454545455,21627.47911,71.1
38,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,15,250,Mean,10,0.533402751,0.523235787,0.844913058,0.801097695,0.732305056,0.444444444,21542.06178,78.4
39,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,20,250,Mean,10,0.552496809,0.55044851,0.859711636,0.80845225,0.744044559,0.438383838,21488.48766,86.6
40,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,25,250,Mean,10,0.5802984,0.575880517,0.872728585,0.814745701,0.765552699,0.424242424,21442.36028,96
41,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,3,250,SD,10,0.06988199,0.074916912,0.039046307,0.087319239,0.048665388,0.016356846,75.6546366,7.11492953
42,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,6,250,SD,10,0.063548568,0.067886189,0.03627378,0.078991442,0.039587185,0.013676832,109.2854125,6.160808028
43,MaxentAll_RSFSAAUC,Random10WrapperTrain,Random10,10_AllVariables,8,250,SD,10,0.049196986,0.060664569,0.036126938,0.048432074,0.028347658,0.017332711,118.3461633,10.84435337
