,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
18,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,6,250,Mean,10,0.396159098,0.372643361,0.760662096,0.715508413,0.680650685,0.471717172,21793.17313,47.5
19,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,8,250,Mean,10,0.419867899,0.392350793,0.774069806,0.698463789,0.72140411,0.450505051,21723.16387,55.1
20,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,10,250,Mean,10,0.468736159,0.454733023,0.807196228,0.754352597,0.714383562,0.447474747,21639.46017,64.6
21,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,12,250,Mean,10,0.496108492,0.472799475,0.823410177,0.754498903,0.741609589,0.436363636,21583.59392,70.5
22,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,15,250,Mean,10,0.503396098,0.486432203,0.828189792,0.770519386,0.732876712,0.43030303,21532.98635,78.6
23,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,20,250,Mean,10,0.523741495,0.500887307,0.840404946,0.749597659,0.774143836,0.407070707,21462.43996,90
24,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,25,250,Mean,10,0.562206386,0.54237141,0.857938279,0.784637893,0.777568493,0.405050505,21378.2602,95.2
25,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,3,250,SD,10,0.111839395,0.104913074,0.067506978,0.171171874,0.152772079,0.028669001,101.4808792,7.73807326
26,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,6,250,SD,10,0.05497752,0.054720192,0.033593638,0.058347754,0.062040255,0.0172014,85.89225874,10.09125034
27,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,8,250,SD,10,0.058054934,0.060199719,0.039008907,0.060472859,0.058303335,0.022435463,86.91625741,7.549098548
28,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,10,250,SD,10,0.034991158,0.043033138,0.021817666,0.062720089,0.043929753,0.015095294,81.75649895,11.76813022
29,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,12,250,SD,10,0.027703119,0.031086378,0.012240532,0.054720013,0.046126703,0.019517006,80.71763741,8.959786704
30,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,15,250,SD,10,0.030331711,0.035713767,0.014990732,0.046692012,0.034653217,0.01085826,102.562349,11.1275434
31,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,20,250,SD,10,0.02925706,0.034038148,0.015155424,0.043009157,0.044023466,0.019661685,94.10314375,10.42433051
32,MaxentAll_RSFSAAIC,Random10WrapperTest,Random10,10_AllVariables,25,250,SD,10,0.018010542,0.016497915,0.006422326,0.033452198,0.03594939,0.012996807,58.55681452,7.269418439
33,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,3,250,Mean,10,0.265331467,0.25192809,0.672186495,0.680241493,0.585089974,0.494949495,21979.32608,23.9
34,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,6,250,Mean,10,0.422205511,0.398489441,0.775482699,0.703439444,0.718766067,0.470707071,21793.17313,47.5
35,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,8,250,Mean,10,0.451142797,0.434999851,0.795269581,0.760482986,0.690659811,0.471717172,21723.16387,55.1
36,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,10,250,Mean,10,0.498462287,0.489608285,0.823467468,0.765386023,0.733076264,0.447474747,21639.46017,64.6
37,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,12,250,Mean,10,0.526846493,0.522856948,0.841769969,0.80636663,0.720479863,0.452525253,21583.59392,70.5
38,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,15,250,Mean,10,0.538390537,0.537623047,0.85042221,0.806256861,0.732133676,0.443434343,21532.98635,78.6
39,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,20,250,Mean,10,0.562853423,0.560375107,0.865296759,0.805012806,0.757840617,0.431313131,21462.43996,90
40,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,25,250,Mean,10,0.599748951,0.595692603,0.883440798,0.825027442,0.774721508,0.421212121,21378.2602,95.2
41,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,3,250,SD,10,0.096256454,0.086363893,0.057111488,0.126492593,0.169784445,0.034005067,101.4808792,7.73807326
42,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,6,250,SD,10,0.057090337,0.06044382,0.030699756,0.102133077,0.066195088,0.017299977,85.89225874,10.09125034
43,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,8,250,SD,10,0.050065089,0.055125398,0.031348265,0.049505074,0.030742357,0.014324611,86.91625741,7.549098548
44,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,10,250,SD,10,0.039567252,0.051225299,0.023895262,0.064263933,0.038264652,0.015828497,81.75649895,11.76813022
45,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,12,250,SD,10,0.030908876,0.038156483,0.0147276,0.051720469,0.041598161,0.017688789,80.71763741,8.959786704
46,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,15,250,SD,10,0.034211808,0.041372841,0.0178859,0.055888492,0.038861163,0.018100579,102.562349,11.1275434
47,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,20,250,SD,10,0.024367113,0.027516178,0.014596013,0.027644335,0.027551933,0.014324611,94.10314375,10.42433051
48,MaxentAll_RSFSAAIC,Random10WrapperTrain,Random10,10_AllVariables,25,250,SD,10,0.015503599,0.016224779,0.008373008,0.028483091,0.033792772,0.019076384,58.55681452,7.269418439
145,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,3,250,Mean,10,0.018763625,0.012130942,0.014126093,0.01594468,0.002818945,0.004040404,0,0
146,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,6,250,Mean,10,0.026678771,0.033180316,0.022319442,0.004330929,0.022347842,-0.001010101,0,0
147,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,8,250,Mean,10,0.021746289,0.028724287,0.018336952,0.025198427,-0.003452138,0.008080808,0,0
148,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,10,250,Mean,10,0.028197875,0.04525245,0.021566312,0.044880489,-0.016682614,0.017171717,0,0
149,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,12,250,Mean,10,0.035845878,0.036405836,0.023198875,0.014629641,0.021216237,0.004040404,0,0
150,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,15,250,Mean,10,0.032886588,0.042671457,0.023125477,0.015287696,0.017598892,0.003030303,0,0
151,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,20,250,Mean,10,0.035596284,0.0403825,0.022923779,0.046895579,-0.011299296,0.017171717,0,0
152,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,25,250,Mean,10,0.031581084,0.048065462,0.023316259,0.031133822,0.000447263,0.011111111,0,0
153,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,3,250,SD,10,0.015984012,0.017352671,0.010951847,0.062187307,0.063934744,0.019165319,0,0
154,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,6,250,SD,10,0.026876729,0.023857234,0.010020545,0.067449022,0.076492898,0.028350888,0,0
155,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,8,250,SD,10,0.02020793,0.018280922,0.008194592,0.052089193,0.048730116,0.020646074,0,0
156,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,10,250,SD,10,0.015709634,0.013351971,0.004479599,0.037584487,0.039180729,0.019661685,0,0
157,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,12,250,SD,10,0.016567333,0.015172203,0.005319919,0.056166822,0.048824281,0.027436429,0,0
158,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,15,250,SD,10,0.014822724,0.014717972,0.004171123,0.03648613,0.035275279,0.015828497,0,0
159,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,20,250,SD,10,0.013103292,0.01105718,0.004856473,0.044265196,0.037038428,0.020230059,0,0
160,MaxentAll_RSFSAAIC,Top10FinalDiffTestTrain,Top10,10_AllVariables,25,250,SD,10,0.01068303,0.013191834,0.003220761,0.051910584,0.055545628,0.028350888,0,0
161,MaxentAll_RSFSAAIC,Top10FinalTest,Top10,10_AllVariables,3,250,Mean,10,0.387102129,0.366340294,0.753340063,0.676810534,0.710291595,0.45959596,21773.79894,29.1
